,,DewTemp,DewTemp,DewTemp,Temp,Temp,Temp,WindSpeed,WindSpeed,WindSpeed
,,max,mean,min,max,mean,min,max,mean,min
ID,Year,,,,,,,,,
010010-99999,2010,82.0,-19.004912855304713,-172.0,9.7,0.5707202993451864,-12.9,250.0,62.10959885386819,0.0
010010-99999,2011,92.0,-12.356131260794474,-171.0,12.2,0.9808059873344912,-14.1,260.0,70.80969754030835,0.0
010010-99999,2012,86.0,-20.48021939549539,-221.0,12.7,0.2619675574746148,-15.0,250.0,65.72917900722663,0.0
010010-99999,2013,93.0,-21.811696496092765,-162.0,12.3,-0.012553566927145087,-13.5,260.0,64.98852626211117,0.0
010010-99999,2014,104.0,-1.612073055028463,-167.0,11.7,2.0411255924170573,-12.7,270.0,61.76231468197035,10.0
010014-99999,2010,180.0,24.248050501299666,-170.0,24.0,7.074898034853541,-9.0,149.0,40.87332339791356,0.0
010014-99999,2011,170.0,51.29947722180732,-150.0,25.0,8.874159820761763,-5.0,242.0,49.423335826477185,0.0
010014-99999,2012,160.0,43.09815950920245,-160.0,28.0,8.429005315110098,-8.0,154.0,46.02640513013957,0.0
010014-99999,2013,170.0,39.63642541624193,-200.0,27.0,8.64871273712737,-7.0,257.0,45.429637165140726,0.0
010014-99999,2014,190.0,51.07106769956214,-150.0,30.0,10.031313131313132,-2.0,165.0,49.82313144329897,0.0
010015-99999,2010,150.0,-4.3312101910828025,-220.0,24.0,4.188153310104529,-16.0,237.0,25.220240564081294,0.0
010015-99999,2011,160.0,32.24089635854342,-180.0,24.0,6.897383794767589,-12.0,221.0,28.04722222222222,0.0
010020-99999,2010,22.0,-136.8773633111906,-292.0,3.9,-11.022892181911098,-26.6,190.0,72.62698819907645,0.0
010020-99999,2011,56.0,-81.58009166764602,-356.0,10.3,-5.853445850914223,-32.5,250.0,72.55545068428503,0.0
010020-99999,2012,63.0,-61.44256863363837,-249.0,10.6,-3.552764352233883,-19.8,240.0,71.90108191653786,0.0
010020-99999,2013,65.0,-68.70470006184291,-235.0,9.5,-6.1650074962518575,-24.7,260.0,71.07656384416862,0.0
010020-99999,2014,61.0,-74.32829401798514,-256.0,9.8,-4.946891698162377,-20.8,230.0,70.15976951283395,10.0
